con_date,c13,c9
2013-06-26 00:00:00,215084046.9423,7.3484
2013-06-27 00:00:00,215594902.2172,7.355
2013-06-28 00:00:00,215846598.2126,7.487
2013-07-01 00:00:00,217981545.2153,7.5872
2013-07-02 00:00:00,217945013.4305,7.6228
2013-07-03 00:00:00,217990586.3413,7.5634
2013-07-04 00:00:00,218093451.74,7.5984
2013-07-05 00:00:00,217979457.9403,7.6275
2013-07-08 00:00:00,218076952.8543,7.4588
2013-07-09 00:00:00,218016920.0214,7.4822
2013-07-10 00:00:00,217494257.502,7.6444
2013-07-11 00:00:00,218121428.5194,7.8865
2013-07-12 00:00:00,218259220.6018,7.7435
2013-07-15 00:00:00,218356235.7309,7.8008
2013-07-16 00:00:00,218492504.4235,7.8119
2013-07-17 00:00:00,218613689.784,7.7183
2013-07-18 00:00:00,218737386.9216,7.6142
2013-07-19 00:00:00,218572353.4776,7.5226
2013-07-22 00:00:00,218925648.3782,7.5195
2013-07-23 00:00:00,218806132.0313,7.6711
2013-07-24 00:00:00,218845662.2598,7.6304
2013-07-25 00:00:00,218876661.9877,7.5955
2013-07-26 00:00:00,219370604.5637,7.5397
2013-07-29 00:00:00,218980623.8957,7.3876
2013-07-30 00:00:00,218911785.286,7.457
2013-07-31 00:00:00,219053637.764,7.4594
2013-08-01 00:00:00,219944814.9465,7.5539
2013-08-02 00:00:00,220083363.0321,7.5448
2013-08-05 00:00:00,220394138.2469,7.6061
2013-08-06 00:00:00,220424734.297,7.6377
2013-08-07 00:00:00,220474292.6249,7.5843
2013-08-08 00:00:00,220388740.8439,7.5812
2013-08-09 00:00:00,220621584.1472,7.6034
2013-08-12 00:00:00,220983951.9404,7.7774
2013-08-13 00:00:00,220809757.6842,7.7909
2013-08-14 00:00:00,220736698.8563,7.7736
2013-08-15 00:00:00,220889638.1867,7.7011
2013-08-16 00:00:00,220855169.4333,7.6717
2013-08-19 00:00:00,221106979.2097,7.7163
2013-08-20 00:00:00,220993943.8357,7.6609
2013-08-21 00:00:00,220565798.9778,7.6677
2013-08-22 00:00:00,220389042.4593,7.6473
